region_cd,sido,sigungu,dong_road,ri,latitude,longitude
1111017900,서울특별시,종로구,홍파동,,37.5711327985698,126.963967103183
1111018000,서울특별시,종로구,교북동,,37.5717842659121,126.96127267528
1111018100,서울특별시,종로구,행촌동,,37.5733270930886,126.962272567935
1111018200,서울특별시,종로구,구기동,,37.6193739703885,126.959299756836
1111018300,서울특별시,종로구,평창동,,37.6063916960376,126.968357810931
1111018400,서울특별시,종로구,부암동,,37.5924142953538,126.964061015983
1111018500,서울특별시,종로구,홍지동,,37.6007910021228,126.956587544473
1111018600,서울특별시,종로구,신영동,,37.6025046922759,126.961818449159
1111018700,서울특별시,종로구,무악동,,37.5759854736855,126.958245677349
1114010100,서울특별시,중구,무교동,,37.5681523321125,126.978995985222
1114010200,서울특별시,중구,다동,,37.5678932127318,126.981173875618
1114010300,서울특별시,중구,태평로1가,,37.5677087157565,126.977234843742
